"""Rayquaza""","""https://archives.bulbagarden.net/media/upload/0/02/384Rayquaza_E.png""","[""None""]",8,8,6,6,5,5,8,8,5,5,8,5,"[""Air Lock""]","[[""Twister""; 5];[""Scary Face""; 5];[""Ancient Power""; 5];[""Crunch""; 5];[""Air Slash""; 5];[""Rest""; 5];[""Extreme Speed""; 5];[""Dragon Pulse""; 5];[""Dragon Dance""; 5];[""Fly""; 5];[""Hyper Voice""; 5];[""Outrage""; 5];[""Hyper Beam""; 5];[""Roar""; 5];[""Dragon Ascent""; 5];[""Sky Drop""; 5];[""Defog""; 5];[""Tailwind""; 5];[""Rain Dance""; 5];[""Sunny Day""; 5];[""Dive""; 5];[""Dig""; 5];[""Draco Meteor""; 5];[""Hurricane""; 5];[""Cosmic Power""; 5]]",3,"[""Dragon""; ""Flying""]","[""Mountain""]"
"""Jirachi""","""https://archives.bulbagarden.net/media/upload/6/61/0385Jirachi.png""","[""None""]",6,6,6,6,6,6,6,6,6,6,5,5,"[""Serene Grace""]","[[""Wish""; 0];[""Doom Desire""; 0];[""Meteor Mash""; 5];[""Swift""; 5];[""Helping Hand""; 5];[""Psychic""; 5];[""Refresh""; 5];[""Lucky Chant""; 5];[""Rest""; 5];[""Zen Headbutt""; 5];[""Double-Edge""; 5];[""Gravity""; 5];[""Healing Wish""; 5];[""Future Sight""; 5];[""Cosmic Power""; 5];[""Last Resort""; 5];[""Confusion""; 5];[""Confide""; 5];[""Trick""; 5];[""Trick Room""; 5]]",3,"[""Steel""; ""Psychic""]","[""Mountain""; ""Plains""]"
"""Deoxys (Base Form)""","""https://archives.bulbagarden.net/media/upload/d/d7/0386Deoxys.png""","[""None""]",8,8,8,8,4,4,8,8,4,4,4,5,"[""Pressure""]","[[""Leer""; 5];[""Wrap""; 5];[""Night Shade""; 5];[""Teleport""; 5];[""Knock Off""; 5];[""Pursuit""; 5];[""Psychic""; 5];[""Snatch""; 5];[""Psycho Shit""; 5];[""Zen Headbutt""; 5];[""Cosmic Power""; 5];[""Recover""; 5];[""Psycho Boost""; 5];[""Hyper Beam""; 5];[""Toxic""; 5];[""Laser Focus""; 5];[""Bind""; 5];[""Signal Beam""; 5]]",3,"[""Psychic""]","[""Forest""; ""Plains""; ""Jungle""; ""Desert""; ""Mountain""; ""City"" ; ""Ocean""]"
"""Deoxys (Attack Form)""","""https://archives.bulbagarden.net/media/upload/c/c6/0386Deoxys-Attack.png""","[""None""]",10,10,8,8,2,2,10,10,2,2,4,5,"[""Pressure""]","[[""Leer""; 5];[""Wrap""; 5];[""Night Shade""; 5];[""Teleport""; 5];[""Knock Off""; 5];[""Pursuit""; 5];[""Psychic""; 5];[""Snatch""; 5];[""Psycho Shit""; 5];[""Zen Headbutt""; 5];[""Cosmic Power""; 5];[""Recover""; 5];[""Psycho Boost""; 5];[""Hyper Beam""; 5];[""Toxic""; 5];[""Laser Focus""; 5];[""Bind""; 5];[""Signal Beam""; 5]]",3,"[""Psychic""]","[""Forest""; ""Plains""; ""Jungle""; ""Desert""; ""Mountain""; ""City"" ; ""Ocean""]"
"""Deoxys (Defense Form)""","""https://archives.bulbagarden.net/media/upload/2/27/0386Deoxys-Defense.png""","[""None""]",5,5,5,5,9,9,5,5,9,9,4,5,"[""Pressure""]","[[""Leer""; 5];[""Wrap""; 5];[""Night Shade""; 5];[""Teleport""; 5];[""Knock Off""; 5];[""Pursuit""; 5];[""Psychic""; 5];[""Snatch""; 5];[""Psycho Shit""; 5];[""Zen Headbutt""; 5];[""Cosmic Power""; 5];[""Recover""; 5];[""Psycho Boost""; 5];[""Hyper Beam""; 5];[""Toxic""; 5];[""Laser Focus""; 5];[""Bind""; 5];[""Signal Beam""; 5]]",3,"[""Psychic""]","[""Forest""; ""Plains""; ""Jungle""; ""Desert""; ""Mountain""; ""City"" ; ""Ocean""]"
"""Deoxys (Speed Form)""","""https://archives.bulbagarden.net/media/upload/1/17/0386Deoxys-Speed.png""","[""None""]",6,6,10,10,5,5,6,6,5,5,4,5,"[""Pressure""]","[[""Leer""; 5];[""Wrap""; 5];[""Night Shade""; 5];[""Teleport""; 5];[""Knock Off""; 5];[""Pursuit""; 5];[""Psychic""; 5];[""Snatch""; 5];[""Psycho Shit""; 5];[""Zen Headbutt""; 5];[""Cosmic Power""; 5];[""Recover""; 5];[""Psycho Boost""; 5];[""Hyper Beam""; 5];[""Toxic""; 5];[""Laser Focus""; 5];[""Bind""; 5];[""Signal Beam""; 5]]",3,"[""Psychic""]","[""Forest""; ""Plains""; ""Jungle""; ""Desert""; ""Mountain""; ""City"" ; ""Ocean""]"
“Turtwig”,"""https://archives.bulbagarden.net/media/upload/6/68/0387Turtwig.png""","[""Male""; ""Female""]",2,4,1,3,2,4,2,4,2,4,3,0,"[""Overgrow""]",[[“Tackle”; 0]; [“Absorb”; 1]; [“Curse”; 2]; [“Mega Drain”; 2]; [“Synthesis”; 2]; [“Giga Drain”; 3]; [“Mud Slap”; 4]; [“Grass Pledge”; 4]; [“Withdraw”; 1]; [“Razor Leaf”; 2]; [“Bite”; 2]; [“Leech Seed”; 2]; [“Crunch”; 3]; [“Leaf Storm”; 3]; [“Seed Bomb”; 4]],4,[“Grass”],"[""Forest""; ""Plains""]"
“Grotle”,"""https://archives.bulbagarden.net/media/upload/f/f8/0388Grotle.png""","[""Male""; ""Female""]",2,5,1,3,2,5,2,4,2,4,4,2,"[""Overgrow""]",[[“Tackle”; 0]; [“Absorb”; 1]; [“Curse”; 2]; [“Mega Drain”; 2]; [“Synthesis”; 2]; [“Giga Drain”; 3]; [“Superpower”; 4]; [“Grass Pledge”; 4]; [“Withdraw”; 1]; [“Razor Leaf”; 2]; [“Bite”; 2]; [“Leech Seed”; 2]; [“Crunch”; 3]; [“Leaf Storm”; 3]; [“Grassy Terrain”; 4]],4,[“Grass”],"[""Forest""; ""Plains""]"
“Torterra”,"""https://archives.bulbagarden.net/media/upload/a/ac/0389Torterra.png""","[""Male""; ""Female""]",3,6,2,4,3,6,2,5,2,5,5,3,"[""Overgrow""]",[[“Tackle”; 0]; [“Absorb”; 1]; [“Bite”; 2]; [“Earthquake”; 2]; [“Synthesis”; 2]; [“Wood Hammer”; 3]; [“Giga Drain”; 3]; [“Outrage”; 4]; [“Frenzy Plant”; 4]; [“Withdraw”; 1]; [“Razor Leaf”; 2]; [“Curse”; 2]; [“Mega Drain”; 2]; [“Leech Seed”; 2]; [“Crunch”; 3]; [“Leaf Storm”; 3]; [“Wide Guard”; 4]],4,[“Grass”; “Ground”],"[""Forest""; ""Plains""]"
“Chimchar”,"""https://archives.bulbagarden.net/media/upload/9/91/0390Chimchar.png""","[""Male""; ""Female""]",2,4,2,4,1,3,2,4,1,3,3,0,"[""Blaze""]",[[“Leer”; 0]; [“Ember”; 1]; [“Fury Swipes”; 2]; [“Nasty Plot”; 2]; [“Façade”; 2]; [“Acrobatics”; 3]; [“Flamethrower”; 3]; [“Fake Out”; 4]; [“Scratch”; 0]; [“Taunt”; 1]; [“Flame Wheel”; 2]; [“Torment”; 2]; [“Fire Spin”; 2]; [“Slack Off”; 3]; [“Helping Hand”; 4]; [“Fire Pledge”; 4]],4,[“Fire”],"[""Mountain""]"
“Monferno”,"""https://archives.bulbagarden.net/media/upload/5/52/0391Monferno.png""","[""Male""; ""Female""]",2,5,2,5,2,4,2,5,2,4,4,2,"[""Blaze""]",[[“Scratch”; 0]; [“Ember”; 1]; [“Mach Punch”; 2]; [“Flame Wheel”; 2]; [“Torment”; 2]; [“Fire Spin”; 2]; [“Slack Off”; 3]; [“Fire Punch”; 4]; [“Fire Pledge”; 4]; [“Leer”; 0]; [“Taunt”; 1]; [“Fury Swipes”; 2]; [“Feint”; 2]; [“Close Combat”; 3]; [“Acrobatics”; 3]; [“Flare Blitz”; 3]; [“Thunder Punch”; 4]],4,[“Fire”; “Fighting”],"[""Mountain""]"
“Infernape”,"""https://archives.bulbagarden.net/media/upload/8/82/0392Infernape.png""","[""Male""; ""Female""]",3,6,3,6,2,5,3,6,2,5,5,3,"[""Blaze""]",[[“Scratch”; 0]; [“Ember”; 1]; [“Mach Punch”; 2]; [“Flame Wheel”; 2]; [“Punishment”; 2]; [“Fire Spin”; 2]; [“Slack Off”; 3]; [“Fire Punch”; 4]; [“Fire Pledge”; 4]; [“Leer”; 0]; [“Taunt”; 1]; [“Fury Swipes”; 2]; [“Feint”; 2]; [“Close Combat”; 3]; [“Acrobatics”; 3]; [“Flare Blitz”; 3]; [“Endure”; 4]; [“Blast Burn”; 4]; [“Calm Mind”; 3]; [“Dual Punch”; 4]],4,[“Fire”; “Fighting”],"[""Mountain""]"
“Piplup”,"""https://archives.bulbagarden.net/media/upload/b/ba/0393Piplup.png""","[""Male""; ""Female""]",2,4,1,3,2,4,2,4,2,4,3,1,"[""Torrent""]",[[“Pound”; 0]; [“Bubble”; 1]; [“Peck”; 2]; [“Bide”; 2]; [“Brine”; 2]; [“Mist”; 3]; [“Hydro Pump”; 3]; [“Flail”; 4]; [“Growl”; 0]; [“Water Sport”; 1]; [“Bubble Beam”; 2]; [“Fury Attack”; 2]; [“Whirlpool”; 2]; [“Drill Peck”; 3]; [“Icy Wind”; 4]; [“Water Pledge”; 4]],4,[“Water”],"[""Ocean""; ""Freshwater""; ""Snow""]"
“Prinplup”,"""https://archives.bulbagarden.net/media/upload/a/ac/0394Prinplup.png""","[""Male""; ""Female""]",2,4,2,4,2,4,2,5,2,5,4,2,"[""Torrent""]",[[“Growl”; 0]; [“Bubble”; 1]; [“Peck”; 2]; [“Bubble Beam”; 2]; [“Fury Attack”; 2]; [“Whirlpool”; 2]; [“Drill Peck”; 3]; [“Agility”; 4]; [“Water Pledge”; 4]; [“Tackle”; 0]; [“Water Sport”; 1]; [“Metal Claw”; 2]; [“Bide”; 2]; [“Brine”; 2]; [“Mist”; 3]; [“Hydro Pump”; 4] ; [“Feather Dance”; 4]],4,[“Water”],"[""Ocean""; ""Freshwater""; ""Snow""]"
