Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Azumarill""","""https://archives.bulbagarden.net/media/upload/thumb/2/22/0184Azumarill.png/250px-0184Azumarill.png""","[""Male""; ""Female""]",2,4,2,4,2,5,2,4,2,5,5,1,"[""Thick Fat""; ""Huge Power""]","[[""Tackle""; 0];[""Water Gun""; 0];[""Tail Whip""; 1];[""Water Sport""; 1];[""Bubble""; 1];[""Defense Curl""; 2];[""Rollout""; 2];[""Bubble Beam""; 2];[""Helping Hand""; 2];[""Aqua Tail""; 2];[""Rain Dance""; 2];[""Play Rough""; 2];[""Double-Edge""; 3];[""Aqua Ring""; 3];[""Hydro Pump""; 3];[""Superpower""; 3];[""Belly Drum""; 4];[""Aqua Jet""; 4];[""Ice Punch""; 4]]",2,"[""Water""; ""Fairy""]","[""Plains""; ""Jungle""; ""Freshwater""]"
"""Sudowoodo""","""https://archives.bulbagarden.net/media/upload/thumb/2/2f/0185Sudowoodo.png/250px-0185Sudowoodo.png""","[""Male""; ""Female""]",3,6,1,3,3,6,1,3,2,4,4,1,"[""Sturdy""; ""Rock Head""]","[[""Flail""; 0];[""Rock Throw""; 0];[""Low Kick""; 1];[""Mimic""; 1];[""Wood Hammer""; 2];[""Copycat""; 2];[""Slam""; 2];[""Feint Attack""; 2];[""Rock Tomb""; 2];[""Tearful Look""; 2];[""Block""; 2];[""Counter""; 2];[""Rock Slide""; 3];[""Sucker Punch""; 3];[""Double-Edge""; 3];[""Stone Edge""; 3];[""Hammer Arm""; 3];[""Head Smash""; 3];[""Fire Punch""; 4];[""Stealth Rock""; 4];[""Self-Destruct""; 4]]",2,"[""Rock""]","[""Plains""; ""Forest""; ""Mountain""]"
"""Politoed""","""https://archives.bulbagarden.net/media/upload/thumb/9/9b/0186Politoed.png/250px-0186Politoed.png""","[""Male""; ""Female""]",2,5,2,4,2,5,2,5,3,6,5,2,"[""Water Absorb""; ""Damp""]","[[""Bubble Beam""; 0];[""Hypnosis""; 1];[""Double Slap""; 0];[""Perish Song""; 2];[""Swagger""; 2];[""Bounce""; 2];[""Hyper Voice""; 2];[""Mud Shot""; 2];[""Icy Wind""; 3];[""Refresh""; 4]]",2,"[""Water""]","[""Freshwater""; ""Jungle""]"
"""Hoppip""","""https://archives.bulbagarden.net/media/upload/thumb/c/c9/0187Hoppip.png/250px-0187Hoppip.png""","[""Male""; ""Female""]",1,3,2,4,1,3,1,3,2,4,3,0,"[""Chlorophyll""; ""Leaf Guard""]","[[""Splash""; 0];[""Synthesis""; 1];[""Tail Whip""; 1];[""Tackle""; 1];[""Fairy Wind""; 2];[""Poison Powder""; 2];[""Stun Spore""; 2];[""Sleep Powder""; 2];[""Bullet Seed""; 2];[""Leech Seed""; 2];[""Mega Drain""; 2];[""Acrobatics""; 2];[""Rage Powder""; 2];[""Worry Seed""; 3];[""Giga Drain""; 3];[""Bounce""; 3];[""Memento""; 3];[""Silver Wind""; 4];[""Seed Bomb""; 4];[""Aromatherapy""; 4]]",2,"[""Grass""; ""Flying""]","[""Plains""; ""Forest""]"
"""Skiploom""","""https://archives.bulbagarden.net/media/upload/thumb/f/f2/0188Skiploom.png/250px-0188Skiploom.png""","[""Male""; ""Female""]",2,4,2,5,2,4,2,4,2,4,4,1,"[""Chlorophyll""; ""Leaf Guard""]","[[""Splash""; 0];[""Synthesis""; 1];[""Tail Whip""; 1];[""Tackle""; 1];[""Fairy Wind""; 2];[""Poison Powder""; 2];[""Stun Spore""; 2];[""Sleep Powder""; 2];[""Bullet Seed""; 2];[""Leech Seed""; 2];[""Mega Drain""; 2];[""Acrobatics""; 2];[""Rage Powder""; 2];[""Cotton Spore""; 3];[""U-Turn""; 3];[""Worry Seed""; 3];[""Giga Drain""; 3];[""Bounce""; 3];[""Memento""; 3];[""Silver Wind""; 4];[""Seed Bomb""; 4];[""Aromatherapy""; 4]]",2,"[""Grass""; ""Flying""]","[""Plains""; ""Forest""]"
"""Jumpluff""","""https://archives.bulbagarden.net/media/upload/thumb/6/64/0189Jumpluff.png/250px-0189Jumpluff.png""","[""Male""; ""Female""]",2,4,3,6,2,5,2,4,2,5,5,2,"[""Chlorophyll""; ""Leaf Guard""]","[[""Splash""; 0];[""Synthesis""; 1];[""Tail Whip""; 1];[""Tackle""; 1];[""Fairy Wind""; 2];[""Poison Powder""; 2];[""Stun Spore""; 2];[""Sleep Powder""; 2];[""Bullet Seed""; 2];[""Leech Seed""; 2];[""Mega Drain""; 2];[""Acrobatics""; 2];[""Rage Powder""; 2];[""Cotton Spore""; 3];[""U-Turn""; 3];[""Worry Seed""; 3];[""Giga Drain""; 3];[""Bounce""; 3];[""Memento""; 3];[""Cotton Guard""; 4];[""Grassy Terrain""; 4];[""Swords Dance""; 4]]",2,"[""Grass""; ""Flying""]","[""Plains""; ""Forest""]"
"""Aipom""","""https://archives.bulbagarden.net/media/upload/thumb/0/0d/0190Aipom.png/250px-0190Aipom.png""","[""Male""; ""Female""]",2,5,2,5,2,4,1,3,2,4,3,1,"[""Run Away""; ""Pick Up""]","[[""Tackle""; 0];[""Tail Whip""; 0];[""Sand Attack""; 1];[""Astonish""; 1];[""Baton Pass""; 2];[""Tickle""; 2];[""Fury Swipes""; 2];[""Swift""; 2];[""Screech""; 2];[""Agility""; 2];[""Fling""; 2];[""Double Hit""; 3];[""Nasty Plot""; 3];[""Last Resort""; 3];[""Fake Out""; 4];[""Beat Up""; 4];[""Quick Guard""; 4]]",2,"[""Normal""]","[""Forest""; ""Jungle""; ""City""]"
"""Sunkern""","""https://archives.bulbagarden.net/media/upload/thumb/6/67/0191Sunkern.png/250px-0191Sunkern.png""","[""Male""; ""Female""]",1,3,1,3,1,3,1,3,1,3,3,0,"[""Chlorophyll""; ""Solar Power""]","[[""Absorb""; 0];[""Growth""; 0];[""Ingrain""; 1];[""Grass Whistle""; 1];[""Mega Drain""; 1];[""Leech Seed""; 2];[""Razor Leaf""; 2];[""Worry Seed""; 2];[""Giga Drain""; 2];[""Endeavor""; 2];[""Natural Gift""; 2];[""Synthesis""; 3];[""Solar Beam""; 3];[""Double-Edge""; 3];[""Sunny Day""; 3];[""Seed Bomb""; 3];[""Swords Dance""; 4];[""Endure""; 4];[""Grassy Terrain""; 4]]",2,"[""Grass""]","[""Plains""; ""Forest""]"
"""Sunflora""","""https://archives.bulbagarden.net/media/upload/thumb/0/0d/0192Sunflora.png/250px-0192Sunflora.png""","[""Male""; ""Female""]",2,5,1,3,2,4,3,6,2,5,4,1,"[""Chlorophyll""; ""Solar Power""]","[[""Absorb""; 0];[""Growth""; 0];[""Pound""; 1];[""Ingrain""; 1];[""Grass Whistle""; 1];[""Mega Drain""; 1];[""Flower Shield""; 2];[""Leech Seed""; 2];[""Razor Leaf""; 2];[""Worry Seed""; 2];[""Giga Drain""; 2];[""Bullet Seed""; 2];[""Petal Dance""; 3];[""Natural Gift""; 2];[""Solar Beam""; 3];[""Double-Edge""; 3];[""Sunny Day""; 3];[""Leaf Storm""; 3];[""Petal Blizzard""; 3];[""Swords Dance""; 4];[""Endure""; 4];[""Morning Sun""; 4]]",2,"[""Grass""]","[""Plains""; ""Forest""]"
"""Yanma""","""https://archives.bulbagarden.net/media/upload/thumb/2/2d/0193Yanma.png/250px-0193Yanma.png""","[""Male""; ""Female""]",2,4,3,6,2,4,2,5,2,4,3,1,"[""Speed Boost""; ""Compoundeyes""]","[[""Tackle""; 0];[""Foresight""; 0];[""Quick Attack""; 1];[""Double Team""; 1];[""Sonic Boom""; 2];[""Detect""; 2];[""Supersonic""; 2];[""Uproar""; 2];[""Pursuit""; 2];[""Ancient Power""; 2];[""Hypnosis""; 2];[""Wing Attack""; 2];[""Screech""; 3];[""U-Turn""; 3];[""Air Slash""; 3];[""Bug Buzz""; 3];[""Feint""; 4];[""Faint Attack""; 4];[""Tailwind""; 4]]",2,"[""Bug""; ""Flying""]","[""Plains""; ""Forest""; ""Jungle""; ""Mountain""]"
