"""Masquerain""","""https://archives.bulbagarden.net/media/upload/6/68/0284Masquerain.png""","[""Male""; ""Female""]",2,4,2,5,2,4,3,6,2,5,4,2,"[""Intimidate""]","[[""Bubble""; 0];[""Quick Attack""; 1];[""Sweet Scent""; 1];[""Ominous Wind""; 2];[""Quiver Dance""; 2];[""Stun Spore""; 2];[""Water Sport""; 2];[""Whirlwind""; 2];[""Air Cutter""; 2];[""Gust""; 2];[""Scary Face""; 2];[""Bug Buzz""; 3];[""Silver Wind""; 3];[""Air Slash""; 3];[""Fell Stinger""; 4];[""Giga Drain""; 4];[""Psy Beam""; 4]]",3,"[""Bug""; ""Flying""]","[""Fresh Water""; ""City""]"
"""Shroomish""","""https://archives.bulbagarden.net/media/upload/2/22/0285Shroomish.png""","[""Male""; ""Female""]",2,4,1,3,2,4,1,3,2,4,3,1,"[""Effect Spore""; ""Poison Heal""]","[[""Absorb""; 0];[""Tackle""; 1];[""Stun Spore""; 1];[""Leech Seed""; 2];[""Mega Drain""; 2];[""Headbutt""; 2];[""Poison Powder""; 2];[""Worry Seed""; 2];[""Growth""; 2];[""Toxic""; 2];[""Giga Drain""; 3];[""Seed Bomb""; 3];[""Spore""; 3];[""Charm""; 4];[""Bullet Seed"";4];[""Fake Tears""; 4]]",3,"[""Grass""]","[""Forest""; ""Cave""]"
"""Breloom""","""https://archives.bulbagarden.net/media/upload/e/ee/0286Breloom.png""","[""Male""; ""Female""]",3,7,2,5,2,5,2,4,2,4,4,3,"[""Effect Spore""; ""Poison Heal""]","[[""Absorb""; 0];[""Tackle""; 1];[""Stun Spore""; 1];[""Leech Seed""; 1];[""Mega Drain""; 2];[""Feint""; 2];[""Headbutt""; 2];[""Mach Punch""; 2];[""Counter""; 2];[""Force Palm""; 2];[""Mind Reader""; 2];[""Sky Uppercut""; 3];[""Seed Bomb""; 3];[""Dynamic Punch""; 3];[""Fury Cutter""; 4];[""Thunder Punch""; 4];[""Drain Punch""; 4]]",3,"[""Grass""; ""Fighting""]","[""Forest""; ""Cave""]"
"""Slakoth""","""https://archives.bulbagarden.net/media/upload/6/61/0287Slakoth.png""","[""Male""; ""Female""]",2,4,1,3,2,4,1,3,1,3,3,0,"[""Truant""]","[['Scratch""; 0];[""Yawn""; 0];[""Encore""; 1];[""Slack Off""; 2];[""Amnesia""; 2];[""Feint Attack""; 2];[""Covet""; 2];[""Chip Away""; 2];[""Counter""; 3];[""Flail""; 3];[""Play Rough""; 3];[""After You""; 4];[""Endure""; 4];[""Sleep Talk""; 4]]",3,"[""Normal""]","[""Jungle""]"
"""Vigoroth""","""https://archives.bulbagarden.net/media/upload/7/76/0288Vigoroth.png""","[""Male""; ""Female""]",2,5,2,5,2,5,2,4,2,4,4,2,"[""Vital Spirit""]","[[""Scratch""; 0];[""Encore""; 1];[""Reversal""; 2];[""Focus Energy""; 2];[""Uproar""; 2];[""Fury Swipes""; 2];[""Endure""; 2];[""Slash""; 2];[""Counter""; 3];[""Chip away""; 3];[""Focus Punch""; 3];[""Crush Claw"", 4];[""Sucker Punch""; 4];[""Night Slash""; 4]]",3,"[""Normal""]","[""Jungle""; ""Mountain""]"
"""Slaking""","""https://archives.bulbagarden.net/media/upload/d/d9/0289Slaking.png""","[""Male""; ""Female""]",4,8,3,6,3,6,2,5,2,4,8,3,"[""Truant""]","[[""Scratch""; 0];[""Yawn""; 0];[""Encore""; 1];[""Punishment""; 2];[""Feint Attack""; 2];[""Slack Off""; 2];[""Covet""; 2];[""Encore""; 2];[""Flight""; 2];[""Amnesia""; 2];[""Swagger""; 2];[""Hammer Arm""; 3];[""Chip Away""; 3];[""Counter""; 3];[""Flail""; 3];[""Block""; 4];[""Focus Punch""; 4];[""Gunk Shot""; 4]]",3,"[""Normal""]","[""Jungle""; ""Mountain""]"
"""Nincada""","""https://archives.bulbagarden.net/media/upload/5/5f/0290Nincada.png""","[""Male""; ""Female""]",2,4,1,3,2,5,1,3,1,3,3,1,"[""Compund Eyes""]","[[""Harden""; 0];[""Scratch""; 0];[""Leech Life""; 1];[""Sand Attack""; 1];[""Fury Swipes""; 2];[""Mind Reader""; 2];[""False Swipe""; 2];[""Bide""; 2];[""Mud Slap""; 3];[""Metal Claw""; 3];[""Dig""; 3];[""Silver Wind""; 4];[""Giga Drain""; 4];[""Endure""; 4]]",3,"[""Bug""; ""Ground""]","[""Forest""; ""Plains""]"
"""Ninjask""","""https://archives.bulbagarden.net/media/upload/5/5c/0291Ninjask.png""","[""Male""; ""Female""]",2,5,4,8,2,4,2,4,2,4,4,2,"[""Speed Boost""]","[[""Scratch""; 0];[""Harden""; 0];[""Absorb""; 1];[""Sand Attack""; 1][""Bug Bite""; 1];[""Fury Swipes""; 2];[""Mind Reader""; 2];[""Double Team""; 2];[""Fury Cutter""; 2];[""Screech""; 2];[""Slash""; 2];[""Swords Dance""; 3];[""Agility""; 3];[""Baton Pass""; 3];["" X-scisor""; 3];[""Silver Wind""; 4];[""Night Slash""; 4];[""Final Gambit""; 4]]",3,"[""Bug""; ""Flying""]","[""Forest""; ""Plains""]"
"""Shedinja""","""https://archives.bulbagarden.net/media/upload/a/ad/0292Shedinja.png""","[""None""]",2,5,1,3,2,4,1,3,1,3,1,3,"[""Wonder Guard""","[[""Harden""; 0];[""Scratch""; 0];[""Absorb""; 1];[""Sand Attack""; 1];[""Fury Swipes""; 2];[""Mind Reader""; 2];[""Spite""; 2];[""Shadow Sneak""; 2];[""Confuse Ray""; 2];[""Grudge""; 2];[""Phantom Force""; 3];[""Heal Block""; 3];[""Shadow ball""; 3];[""Final Gambit""; 4];[""Feint Attack""; 4];[""X-Scissor""; 4]]",3,"[""Bug""; ""Ghost""]","[""Plains""; ""City""; ""Cave""]"
"""Whismur""","""https://archives.bulbagarden.net/wiki/File:0293Whismur.png""","[""Male""; ""Female""]",2,4,1,3,1,3,2,4,1,3,3,0,"[""Soundproof""]","[[""Pound""; 0];[""Echoed Voice""; 1];[""Uproar""; 1];[""Astonish""; 2];[""Howl""; 2];[""Supersonic""; 2];[""Stomp""; 2];[""Screech""; 2];[""Roar""; 2];[""Synchronoise""; 3];[""Rest""; 3];[""Sleep Talk""; 3];[""Hyper Voice""; 3];[""Disarming Voice""; 4];[""Fake Tears""; 4];[""Snore""; 4]]",3,"[""Normal""]","[""Cave""; ""Mountain""]"
