Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Altaria""","""https://archives.bulbagarden.net/media/upload/b/b2/0334Altaria.png""","[""Male""; ""Female""]",2,5,2,5,2,5,2,5,3,6,4,3,"[""Natural Cure""]","[[""Growl""; 0];[""Peck""; 0];[""Pluck; 1];[""Astonish""; 1];[""Sing""; 1];[""Fury Attackl; 1];[""Safeguard""; 2];[""Disarming Voice""; 2];[""Mist""; 2];[""Round""; 2];[""Natural Gift""; 2];[""Take Down""; 2];[""Refresh""; 2];[""Dragon Dance""; 2];[""Dragon Breath""; 2];[""Cotton Guard""; 3];[""Dragon Pulse""; 3];[""Perish Song""'; 3];[""Mooon Blast""; 3];[""Sky Attack""; 3];[""Power Swap""; 4];[""Draco Meteor""; 4];[""Dragon Rush""; 4]]",3,"[""Flying""; ""Dragon""]","[""Forest""]"
"""Zangoose""","""https://archives.bulbagarden.net/media/upload/9/93/0335Zangoose.png""","[""Male""; ""Female""]",3,6,2,5,2,4,2,4,2,4,4,2,"[""Immunity""]","[[""Scratch""; 0];[""Leer""; 0];[""Quick Attack""; 1];[""Fury Cutter""; 1];[""Pursuit""; 2];[""Slash""; 2];[""Hone Claws""; 2];[""Embargo""; 2];[""Crush Claw""; 2];[""Revenge""; 2];[""False Swipe""; 2];[""Detect""; 2];[""X-Scissor""; 3];[""Taunt""; 3];[""Swords Dance""; 3];[""Close Combat""; 3];[""Night Slash""; 4];[""Fury Swipes""; 4];[""Metal Claw""; 4]]",3,"[""Normal""]","[""Forest""]"
"""Seviper""","""https://archives.bulbagarden.net/media/upload/a/ae/0336Seviper.png""","[""Male""; ""Female""]",3,6,2,4,2,4,3,6,2,4,4,2,"[""Shed Skin""]","[[""Wrap""; 0];[""Swagger'; 0];[""Bite""; 1];[""Lick""; 1];[""Feint""; 1];[""Poison Tail""; 1];[""Screech""; 2];[""Venoshock""; 2];[""Glare""; 2];[""Poison Fang""; 2];[""Venom Drench""; 2];[""Night Slash""; 2];[""Gastro Acid""; 2];[""Belch""; 2];[""Haze""; 2];[""Poison Jab""; 3];[""Crunch""; 3];[""Swords Dance""; 3];[""Coil""; 3];[""Wring Out""; 3];[""Aqua Tail""; 4];[""Giga Drain""; 4];[""Iron Tail""; 4]]",3,"[""Poison""]","[""Forest""]"
"""Lunatone""","""https://archives.bulbagarden.net/media/upload/a/ac/0337Lunatone.png""","[""None""]",2,4,2,5,2,4,3,6,2,5,4,2,"[""Levitate""]","[[""Harden""; 0];[""Tackle""; 0];[""Moon Blast""; 0];[""Confusion""; 1];[""Hypnosis""; 1];[""Rock Throw""; 1];[""Power Gem""; 2];[""Rock Polish""; 2];[""Psyshock""; 2];[""Embargo""; 2];[""Psywave""; 2];[""Cosmic Power"";l 2];[""Rock Slide""; 2];[""Heal Block""; 2];[""Psychic""; 2];[""Stone-Edge""; 3];[""Explosion""; 3];[""Future Sight""; 3];[""MagIc Room""; 3];[""Trick Room""; 4];[""Magic Coat""; 4];[""Skill Swap""; 4]]",3,"[""Rock""; ""Psychic""]","[""Cave""]"
"""Solrock""","""https://archives.bulbagarden.net/media/upload/1/13/0338Solrock.png""","[""None""]",3,6,2,5,2,5,2,4,2,4,4,2,"[""Levitate""]","[[""Tackle""; 0];[""Harden""; 0];[""Solar Beam""; 0;];[""Fire Spin""; 1];[""Confusion""; 1];[""Rock Throw""; 1];[""Rock Polish""; 2];[""Psywave""; 2];[""Embargo""; 2];[""Rock Slide""; 2];[""Cosmic Power""; 2];[""Psychic""; 2];[""Heal Block""; 2];[""Stone Edge""; 3];[""Flare Blitz""; 3];[""Explosion""; 3];[""Wonder Room""; 3];[""Magic Coat""; 4];[""Sunny Day""; 4];[""Skill Swap""; 4]]",3,"[""Rock""; ""Psychic""]","[""Cave""]"
"""Barboach""","""https://archives.bulbagarden.net/media/upload/6/6f/0339Barboach.png""","[""Male""; ""Female""]",2,4,2,4,1,3,2,4,1,3,3,0,"[""Oblivious""; ""Anticipation""]","[[""Mud Slap""; 0];[""Mud Sport""; 1];[""Water Sport""; 1];[""Water Gun""; 1];[""Mud Bomb""; 2];[""Amnesia""; 2];[""Water Pulse""; 2];[""Magnitude""; 2];[""Rest""; 2];[""Snore""; 2];[""Aqua Tail""; 2];[""Earthquake""; 3];[""Muddy Water""; 3];[""Future Sight""; 3];[""Fissure""; 3];[""Dive""; 4];[""Flail""; 4];[""Mud Shot""; 4]]",3,"[""Water""; ""Ground""]","[""Fresh Water""; ""Cave""]"
"""Whiscash""","""https://archives.bulbagarden.net/media/upload/b/b0/0340Whiscash.png""","[""Male""; ""Female""]",2,5,2,4,2,5,2,5,2,5,5,2,"[""Oblivious""; ""Anticipation""]","[[""Mud Slap""; 0];[""Tickle""; 0];[""Mud Sport""; 1];[""Water Sport""; 1];[""Water Gun""; 1];[""Belch""; 2];[""Mud Bomb""; 2];[""Amnesia""; 2];[""Water Pulse""; 2];[""Magnitude""; 2];[""Rest""; 2];[""Snore""; 2];[""Aqua Tail""; 2];[""Thrash""; 3];[""Zen Headbutt""; 3];[""Earthquake""; 3];[""Muddy Water""; 3];[""Future Sight""; 3];[""Fissure""; 3];[""Dragon Dance""; 4];[""Bounce""; 4];[""Spark""; 4]]",3,"[""Water""; ""Ground""]","[""Fresh Water""; ""Cave""]"
"""Corphish""","""https://archives.bulbagarden.net/media/upload/9/93/0341Corphish.png""","[""Male""; ""Female""]",2,5,1,3,2,4,2,4,1,3,3,1,"[""Hyper Cutter""; ""Shell Armor""]","[[""Bubble""; 0];[""Leer""; 0];[""Vice Grip""; 1];[""Harden""; 1];[""Bubble Beam""'; 2];[""Protect""; 2];[""Double Hit""; 2];[""Knock Off""; 2];[""Taunt""; 2];[""Night Slash""; 2];[""Crab Hammer""; 2];[""Razor Shell""; 3];[""Swords Dance""; 3];[""Crunch""; 3];[""Guilotine"";3];[""Metal Claw""; 4];[""Endavor""; 4];[""Chip Away""; 4]]",3,"[""Water""]","[""Fresh Water""; ""Ocean""]"
"""Crawdaunt""","""https://archives.bulbagarden.net/media/upload/4/48/0342Crawdaunt.png""","[""Male""; ""Female""]",3,7,2,4,2,5,2,5,2,4,4,2,"[""Hyper Cutter""; ""Shell Armor""]","[[""Bubble""; 0];[""Leer""; 0];[""Vice Grip""; 1];[""Harden""; 1];[""Bubble Beam""'; 2];[""Protect""; 2];[""Double Hit""; 2];[""Knock Off""; 2];[""Taunt""; 2];[""Night Slash""; 2];[""Crab Hammer""; 2];[""Razor Shell""; 3];[""Swords Dance""; 3];[""Crunch""; 3];[""Guilotine"";3];[""Superpower""; 4];[""Dragon Dance""; 4];[""Mud Sport""; 4]]",3,"[""Water""; ""Dark""]","[""Fresh Water""; ""Ocean""]"
"""Baltoy""","""https://archives.bulbagarden.net/media/upload/6/62/0343Baltoy.png""","[""None""]",1,3,2,4,2,4,1,3,2,5,3,1,"[""Levitate""]","[[""Confusion""; 0];[""Harden""; 0];[""Rapid Spin""; 1];[""Mud Slap""; 1];[""Rock Tomb""; 1];[""Heal Block""; 2];[""Psybeam""; 2];[""Power Trick""; 2];[""Ancient Power""; 2];[""Self Destruct""; 2];[""Guard Split""; 2];[""Cosmic Power""; 2];[""Power Split""; 2];[""Extrasensory""; 3];[""Earth Power""; 3];[""Sandstorm""; 3];[""Explosion""; 3];[""Gravity""; 4];[""Signal Beam""; 4];[""Trick""; 4]]",3,"[""Ground""; ""Psychic""]","[""Desert""]"
