Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Stantler""","""https://archives.bulbagarden.net/media/upload/thumb/c/c4/0234Stantler.png/250px-0234Stantler.png""","[""Male""; ""Female""]",3,6,2,4,2,4,2,5,2,4,4,2,"[""Frisk""; ""Intimidate""]","[[""Tackle""; 0];[""Astonish""; 0];[""Leer""; 1];[""Take Down""; 1];[""Hypnosis""; 2];[""Stomp""; 2];[""Sand Attack""; 2];[""Me First""; 2];[""Confuse Ray""; 2];[""Calm Mind""; 2];[""Role Play""; 2];[""Zen Headbutt""; 2];[""Jump Kick""; 3];[""Imprison""; 3];[""Captivate""; 3];[""Disable""; 4];[""Megahorn""; 4];[""Thrash""; 4]]",2,"[""Normal""]","[""Forest""; ""Plains""]"
"""Smeargle""","""https://archives.bulbagarden.net/media/upload/thumb/7/72/0235Smeargle.png/250px-0235Smeargle.png""","[""Male""; ""Female""]",1,3,3,6,2,4,1,3,3,6,4,2,"[""Own Tempo""; ""Technician""]","[[""Sketch""; 0];[""Sketch""; 0];[""Sketch""; 1];[""Sketch""; 1]]",2,"[""Normal""]","[""City""; ""Mountain""]"
"""Tyrogue""","""https://archives.bulbagarden.net/media/upload/thumb/e/e5/0236Tyrogue.png/250px-0236Tyrogue.png""","[""Male""]",1,3,1,3,1,3,1,3,1,3,3,0,"[""Guts""; ""Steadfast""]","[[""Tackle""; 0];[""Foresight""; 1];[""Helping Hand""; 2];[""Fake Out""; 2];[""Work Up""; 4];[""Role Play""; 4];[""Seismic Toss""; 4]]",2,"[""Fighting""]","[""City""]"
"""Hitmontop""","""https://archives.bulbagarden.net/media/upload/thumb/1/13/0237Hitmontop.png/250px-0237Hitmontop.png""","[""Male""]",3,6,2,4,3,6,1,3,3,6,4,2,"[""Intimidate""; ""Technician""]","[[""Revenge""; 0];[""Rolling Kick""; 0];[""Focus Energy""; 1];[""Quick Attack""; 1];[""Pursuit""; 2];[""Triple Kick""; 2];[""Rapid Spin""; 2];[""Counter""; 2];[""Feint""; 2];[""Agility""; 2];[""Gyro Ball""; 2];[""Quick Guard""; 2];[""Wide Guard""; 3];[""Detect""; 3];[""Close Combat""; 3];[""Endeavor""; 3];[""Mach Punch""; 4];[""High Jump Kick""; 4];[""Twister""; 4]]",2,"[""Fighting""]","[""City""]"
"""Smoochum""","""https://archives.bulbagarden.net/media/upload/thumb/c/c9/0238Smoochum.png/250px-0238Smoochum.png""","[""Female""]",1,3,2,4,1,2,2,5,2,4,3,0,"[""Forewarn""; ""Oblivious""]","[[""Pound""; 0];[""Lick""; 1];[""Sweet Kiss""; 1];[""Powder Snow""; 1];[""Confusion""; 2];[""Sing""; 2];[""Heart Stamp""; 2];[""Mean Look""; 2];[""Fake Tears""; 2];[""Lucky Chant""; 2];[""Avalanche""; 2];[""Psychic""; 3];[""Copycat""; 3];[""Perish Song""; 3];[""Blizzard""; 3];[""Fake Out""; 4];[""Helping Hand""; 4];[""Magic Coat""; 4]]",2,"[""Ice""; ""Psychic""]","[""Snow""]"
"""Elekid""","""https://archives.bulbagarden.net/media/upload/thumb/9/93/0239Elekid.png/250px-0239Elekid.png""","[""Male""; ""Female""]",2,4,2,5,1,3,2,4,2,4,3,0,"[""Static""]","[[""Leer""; 0];[""Quick Attack""; 0];[""Thunder Shock""; 1];[""Low Kick""; 1];[""Swift""; 2];[""Shock Wave""; 2];[""Thunder Wave""; 2];[""Electro Ball""; 2];[""Light Screen""; 2];[""Thunder Punch""; 2];[""Screech""; 2];[""Thunderbolt""; 3];[""Discharge""; 3];[""Thunder""; 3];[""Meditate""; 4];[""Karate Chop""; 4];[""Uproar""; 4]]",2,"[""Electric""]","[""Cave""; ""Forest""; ""City""]"
"""Magby""","""https://archives.bulbagarden.net/media/upload/thumb/0/00/0240Magby.png/250px-0240Magby.png""","[""Male""; ""Female""]",2,4,2,4,1,3,1,3,1,3,3,0,"[""Flame Body""]","[[""Leer""; 0];[""Smog""; 0];[""Ember""; 1];[""Smokescreen""; 1];[""Feint Attack""; 1];[""Fire Spin""; 2];[""Clear Smog""; 2];[""Flame Burst""; 2];[""Confuse Ray""; 2];[""Fire Punch""; 2];[""Lava Plume""; 3];[""Sunny Day""; 3];[""Flamethrower""; 3];[""Fire Blast""; 3];[""Karate Chop""; 4];[""Belch""; 4];[""Screech""; 4]]",2,"[""Fire""]","[""Mountain""; ""Cave""]"
"""Miltank""","""https://archives.bulbagarden.net/media/upload/thumb/d/d5/0241Miltank.png/250px-0241Miltank.png""","[""Female""]",2,5,3,6,3,6,1,3,2,5,4,2,"[""Scrappy""; ""Thick Fat""]","[[""Tackle""; 0];[""Growl""; 1];[""Defense Curl""; 1];[""Stomp""; 1];[""Milk Drink""; 2];[""Bide""; 2];[""Rollout""; 2];[""Body Slam""; 2];[""Zen Headbutt""; 2];[""Captivate""; 2];[""Gyro Ball""; 3];[""Heal Bell""; 3];[""Wake-Up Slap""; 3];[""Belch""; 4];[""Helping Hand""; 4];[""Mega Kick""; 4]]",2,"[""Normal""]","[""Plains""]"
"""Blissey""","""https://archives.bulbagarden.net/media/upload/thumb/5/54/0242Blissey.png/250px-0242Blissey.png""","[""Female""]",1,2,2,4,1,2,2,5,3,7,12,2,"[""Natural Cure""; ""Serene Grace""]","[[""Growl""; 0];[""Pound""; 0];[""Tail Whip""; 1];[""Defense Curl""; 1];[""Double Slap""; 1];[""Refresh""; 1];[""Bestow""; 2];[""Soft Boiled""; 2];[""Take Down""; 2];[""Minimize""; 2];[""Fling""; 2];[""Sing""; 2];[""Heal Pulse""; 2];[""Double-Edge""; 3];[""Egg Bomb""; 3];[""Lightscreen""; 3];[""Healing Wish""; 3];[""Seismic Toss""; 4];[""Last Resort""; 4];[""Metronome""; 4]]",2,"[""Normal""]","[""Plains""; ""City""]"
"""Raikou""","""https://archives.bulbagarden.net/media/upload/thumb/4/48/0243Raikou.png/250px-0243Raikou.png""","[""None""]",5,5,7,7,5,5,6,6,6,6,4,5,"[""Pressure""; ""Inner Focus""]","[[""Bite""; 5];[""Leer""; 5];[""Thunder Shock""; 5];[""Roar""; 5];[""Quick Attack""; 5];[""Spark""; 5];[""Reflect""; 5];[""Crunch""; 5];[""Thunder Fang""; 5];[""Discharge""; 5];[""Extrasensory""; 5];[""Rain Dance""; 5];[""Calm Mind""; 5];[""Thunder""; 5];[""Double Team""; 5];[""Substitute""; 5];[""Volt Switch""; 5];[""Flash""; 5];[""Mimic""; 5];[""Curse""; 5];[""Shockwave""; 5]]",2,"[""Electric""]","[""Plains""; ""Mountain""; ""Forest""]"
