Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Grimer""","""https://archives.bulbagarden.net/media/upload/thumb/e/eb/0088Grimer.png/375px-0088Grimer.png""","[""Male""; ""Female""]",2,5,1,3,2,4,1,3,2,4,3,0,"[""Stench""; ""Sticky Hold""]","[[""Pound""; 0];[""Poison Gas""; 0];[""Harden""; 1];[""Mud Slap""; 1];[""Disable""; 1];[""Sludge""; 1];[""Minimize""; 2];[""Mud Bomb""; 2];[""Sludge Bomb""; 2];[""Fling""; 2];[""Screech""; 2];[""Sludge Wave""; 3];[""Acid Armor""; 3];[""Gunk Shot""; 3];[""Belch""; 3];[""Memento""; 3];[""Shadow Sneak""; 4];[""Giga Drain""; 4];[""Scary Face""; 4]]",1,"[""Poison""]","[""City""]"
"""Muk""","""https://archives.bulbagarden.net/media/upload/thumb/4/41/0089Muk.png/375px-0089Muk.png""","[""Male""; ""Female""]",3,6,2,4,2,5,2,4,3,6,5,1,"[""Stench""; ""Sticky Hold""]","[[""Pound""; 0];[""Poison Gas""; 0];[""Harden""; 1];[""Mud Slap""; 1];[""Venom Drench""; 2];[""Disable""; 1];[""Sludge""; 1];[""Minimize""; 2];[""Mud Bomb""; 2];[""Sludge Bomb""; 2];[""Fling""; 2];[""Screech""; 2];[""Sludge Wave""; 3];[""Acid Armor""; 3];[""Gunk Shot""; 3];[""Belch""; 3];[""Memento""; 3];[""Shadow Sneak""; 4];[""Giga Drain""; 4];[""Self-Destruct""; 4]]",1,"[""Poison""]","[""City""]"
"""Grimer (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/2/24/0088Grimer-Alola.png/900px-0088Grimer-Alola.png""","[""Male""; ""Female""]",2,5,1,3,2,4,1,3,2,4,3,0,"[""Poison Touch""; ""Power of Alchemy""]","[[""Pound""; 0];[""Poison Gas""; 0];[""Harden""; 1];[""Bite""; 1];[""Disable""; 1];[""Acid Spray""; 1];[""Minimize""; 2];[""Acid Spray""; 2];[""Poison Fang""; 2];[""Fling""; 2];[""Knock Off""; 2];[""Crunch""; 2];[""Acid Armor""; 3];[""Gunk Shot""; 3];[""Belch""; 3];[""Memento""; 3];[""Screech""; 2];[""Shadow Sneak""; 4];[""Assurance""; 4];[""Clear Smog""; 4]]",7,"[""Poison""; ""Dark""]","[""City""]"
"""Muk (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/8/8c/0089Muk-Alola.png/900px-0089Muk-Alola.png""","[""Male""; ""Female""]",3,5,2,4,2,5,2,4,3,6,5,1,"[""Poison Touch""; ""Power of Alchemy""]","[[""Pound""; 0];[""Poison Gas""; 0];[""Harden""; 1];[""Bite""; 1];[""Disable""; 1];[""Venom Drench""; 2];[""Minimize""; 2];[""Acid Spray""; 2];[""Poison Fang""; 2];[""Fling""; 2];[""Knock Off""; 2];[""Crunch""; 2];[""Acid Armor""; 3];[""Gunk Shot""; 3];[""Belch""; 3];[""Memento""; 3];[""Screech""; 2];[""Shadow Sneak""; 4];[""Stockpile""; 4];[""Swallow""; 4]]",7,"[""Poison""; ""Dark""]","[""City""]"
"""Shellder""","""https://archives.bulbagarden.net/media/upload/thumb/3/3e/0090Shellder.png/375px-0090Shellder.png""","[""Male""; ""Female""]",2,4,2,3,3,6,2,4,1,3,3,0,"[""Shell Armor""; ""Skill Link""]","[[""Tackle""; 0];[""Water Gun""; 1];[""Protect""; 1];[""Supersonic""; 1];[""Icicle Spear""; 2];[""Withdraw""; 2];[""Leer""; 2];[""Clamp""; 2];[""Ice Shard""; 2];[""Razor Shell""; 2];[""Aurora Beam""; 2];[""Whirlpool""; 2];[""Brine""; 2];[""Iron Defense""; 3];[""Ice Beam""; 3];[""Shell Smash""; 3];[""Hydro Pump""; 3];[""Aqua Ring""; 4];[""Rock Blast""; 4];[""Rapid Spin""; 4]]",1,"[""Water""]","[""Ocean""]"
"""Cloyster""","""https://archives.bulbagarden.net/media/upload/thumb/9/90/0091Cloyster.png/375px-0091Cloyster.png""","[""Male""; ""Female""]",3,6,2,4,4,9,2,5,2,4,4,1,"[""Shell Armor""; ""Skill Link""]","[[""Protect""; 1];[""Withdraw""; 0];[""Supersonic""; 1];[""Spike Cannon""; 2];[""Toxic Spikes""; 2];[""Aurora Beam""; 2];[""Spikes""; 3];[""Icicle Crash""; 3];[""Shell Smash""; 3];[""Hydro Pump""; 3];[""Aqua Ring""; 4];[""Rock Blast""; 4];[""Self-Destruct""; 4]]",1,"[""Water""; ""Ice""]","[""Ocean""]"
"""Gastly""","""https://archives.bulbagarden.net/media/upload/thumb/c/c2/0092Gastly.png/375px-0092Gastly.png""","[""Male""; ""Female""]",1,3,2,5,1,3,3,6,1,3,4,0,"[""Levitate""]","[[""Spite""; 0];[""Lick""; 0];[""Night Shade""; 1];[""Mean Look""; 1];[""Curse""; 1];[""Hypnosis""; 2];[""Confuse Ray""; 2];[""Sucker Punch""; 2];[""Payback""; 2];[""Shadow Ball""; 2];[""Dark Pulse""; 2];[""Dream Eater""; 3];[""Destiny Bond""; 3];[""Hex""; 3];[""Nightmare""; 3];[""Clear Smog""; 4];[""Icy Wind""; 4];[""Grudge""; 4]]",1,"[""Ghost""; ""Poison""]","[""City"", ""Cave"", ""Forest""]"
"""Haunter""","""https://archives.bulbagarden.net/media/upload/thumb/d/d1/0093Haunter.png/375px-0093Haunter.png""","[""Male""; ""Female""]",2,4,3,6,2,4,3,6,2,4,4,1,"[""Levitate""]","[[""Spite""; 0];[""Lick""; 0];[""Night Shade""; 1];[""Mean Look""; 1];[""Curse""; 1];[""Hypnosis""; 2];[""Confuse Ray""; 2];[""Sucker Punch""; 2];[""Shadow Punch""; 2];[""Payback""; 2];[""Shadow Ball""; 2];[""Dark Pulse""; 2];[""Dream Eater""; 3];[""Destiny Bond""; 3];[""Hex""; 3];[""Nightmare""; 3];[""Trick""; 4];[""Icy Wind""; 4];[""Grudge""; 4]]",1,"[""Ghost""; ""Poison""]","[""City"", ""Cave"", ""Forest""]"
"""Gengar""","""https://archives.bulbagarden.net/media/upload/thumb/4/47/0094Gengar.png/375px-0094Gengar.png""","[""Male""; ""Female""]",2,4,3,6,2,4,3,7,2,5,5,2,"[""Levitate"", ""Cursed Body""]","[[""Spite""; 0];[""Lick""; 0];[""Night Shade""; 1];[""Mean Look""; 1];[""Curse""; 1];[""Hypnosis""; 2];[""Confuse Ray""; 2];[""Sucker Punch""; 2];[""Shadow Punch""; 2];[""Payback""; 2];[""Shadow Ball""; 2];[""Dark Pulse""; 2];[""Dream Eater""; 3];[""Destiny Bond""; 3];[""Hex""; 3];[""Nightmare""; 3];[""Perish Song""; 4];[""Icy Wind""; 4];[""Giga Drain""; 4]]",1,"[""Ghost""; ""Poison""]","[""City"", ""Cave"", ""Forest""]"
"""Onix""","""https://archives.bulbagarden.net/media/upload/thumb/b/b7/0095Onix.png/375px-0095Onix.png""","[""Male""; ""Female""]",2,4,2,5,4,8,1,3,2,4,8,2,"[""Rock Head""; ""Sturdy""]","[[""Tackle""; 0];[""Harden""; 0];[""Mud Sport""; 0];[""Bind""; 1];[""Curse""; 1];[""Rock Throw""; 1];[""Rock Tomb""; 2];[""Rage""; 2];[""Stealth Rock""; 2];[""Rock Polish""; 2];[""Smack Down""; 2];[""Dragon Breath""; 2];[""Slam""; 2];[""Screech""; 2];[""Rock Slide""; 2];[""Sand Tomb""; 2];[""Dig""; 2];[""Iron Tail; 3];[""Stone Edge""; 3];[""Double-Edge""; 3];[""Sandstorm""; 3];[""Ancient Power""; 4];[""Self-Destruct""; 4];[""Endure""; 4]]",1,"[""Rock""; ""Ground""]","[""Mountain""; ""Cave""]"
